Var1,Var2,r,se,p,n,Analysis,absZ
CccCoher 8yr,IcqFussi 6mo,0.112,0.006,7.2e-73,28374,FS,18.98
CebqFull 8yr,IcqFussi 6mo,0.12,0.005,8.97e-174,41406,FS,25
NhpicBenev 8yr,IcqFussi 6mo,0.145,0.005,5.5e-45,41501,FS,30.21
NhpicConsc 8yr,IcqFussi 6mo,-0.137,0.005,6.94e-31,41503,FS,28.54
RsdbdAdhd 8yr,IcqFussi 6mo,0.152,0.005,1.88e-21,41529,FS,31.67
RsdbdCondu 8yr,IcqFussi 6mo,0.079,0.005,0,41600,FS,16.12
RsdbdHyper 8yr,IcqFussi 6mo,0.125,0.005,1.12e-166,41518,FS,26.04
RsdbdInatt 8yr,IcqFussi 6mo,0.14,0.005,5.14e-81,41527,FS,29.17
RsdbdOdd 8yr,IcqFussi 6mo,0.128,0.005,4.71e-152,41512,FS,26.67
ScaredFull 8yr,IcqFussi 6mo,0.084,0.005,0,41544,FS,17.14
ScqRestr 8yr,IcqFussi 6mo,-0.09,0.005,0,35222,FS,16.98
ScqSocia 8yr,IcqFussi 6mo,0.01,0.005,4.3e-145,35247,FS,1.89
SmfqFull 8yr,IcqFussi 6mo,0.125,0.005,0,41483,FS,26.04
SpinFull 8yr,IcqFussi 6mo,0.134,0.005,0,40554,FS,27.35
SprakSeman 8yr,IcqFussi 6mo,0.113,0.006,0,23536,FS,17.66
CapeFullC 14yr,IcqFussi 6mo,-0.003,0.007,3.48e-98,20662,FS,0.43
PeqParenC 14yr,IcqFussi 6mo,-0.028,0.007,4.9e-40,20720,FS,4.06
SbSchooC 14yr,IcqFussi 6mo,0,0.007,4.15e-27,18932,FS,0
SclAnxieC 14yr,IcqFussi 6mo,0.01,0.007,8.6e-290,18945,FS,1.37
SclDepreC 14yr,IcqFussi 6mo,0.012,0.007,1.59e-86,18940,FS,1.64
SdqProsoC 14yr,IcqFussi 6mo,-0.035,0.008,7.66e-08,15583,FS,4.38
SdqProsoM 14yr,IcqFussi 6mo,-0.113,0.009,0,12717,FS,12.84
SmfqFullC 14yr,IcqFussi 6mo,0.017,0.008,2.61e-17,15752,FS,2.12
SmfqFullM 14yr,IcqFussi 6mo,0.045,0.009,0,13382,FS,5.23
SpinFullC 14yr,IcqFussi 6mo,0.027,0.008,1e-23,15354,FS,3.33
SppaSociaC 14yr,IcqFussi 6mo,-0.042,0.007,1.49e-83,20736,FS,6.09
SwlsFullC 14yr,IcqFussi 6mo,-0.018,0.007,4.92e-44,20717,FS,2.61
YptiFullC 14yr,IcqFussi 6mo,0.018,0.007,1.35e-26,20590,FS,2.57
AsqMotor 18mo,AsqLangu 18mo,0.257,0.004,0,72438,FS,73.43
CbclExter 18mo,AsqLangu 18mo,0.123,0.004,0,72390,FS,33.24
CbclInter 18mo,AsqLangu 18mo,0.047,0.004,0,72215,FS,12.7
EasActiv 18mo,AsqLangu 18mo,0.018,0.004,0,72385,FS,4.86
EasEmoti 18mo,AsqLangu 18mo,-0.071,0.004,0,72390,FS,19.19
EasShyne 18mo,AsqLangu 18mo,0.057,0.004,0,72370,FS,15.41
EasSocia 18mo,AsqLangu 18mo,0.082,0.004,0,72373,FS,22.16
AsqLangu 3yr,AsqLangu 18mo,0.378,0.004,0,52123,FS,99.47
AsqMotor 3yr,AsqLangu 18mo,0.205,0.004,0,52065,FS,48.81
CbclExter 3yr,AsqLangu 18mo,0.119,0.004,0,51948,FS,27.67
CbclInter 3yr,AsqLangu 18mo,0.048,0.004,0,51822,FS,10.91
CfqPress 3yr,AsqLangu 18mo,0.013,0.004,0,51263,FS,2.95
CfqRestr 3yr,AsqLangu 18mo,-0.001,0.004,0,51248,FS,0.23
EasActiv 3yr,AsqLangu 18mo,0.011,0.004,0,52042,FS,2.5
EasEmoti 3yr,AsqLangu 18mo,-0.039,0.004,0,52047,FS,8.86
EasShyne 3yr,AsqLangu 18mo,0.067,0.004,0,52029,FS,15.23
EasSocia 3yr,AsqLangu 18mo,0.082,0.004,0,52033,FS,18.64
ItseaCompe 3yr,AsqLangu 18mo,-0.116,0.004,0,52225,FS,26.98
ItseaDysre 3yr,AsqLangu 18mo,0.023,0.004,0,51923,FS,5.23
ItseaExter 3yr,AsqLangu 18mo,0.095,0.004,0,51942,FS,22.09
ItseaInter 3yr,AsqLangu 18mo,0.02,0.004,0,51926,FS,4.55
ScqRestr 3yr,AsqLangu 18mo,-0.047,0.004,0,52089,FS,10.68
ScqSocia 3yr,AsqLangu 18mo,0.247,0.004,0,52126,FS,60.24
SdqProso 3yr,AsqLangu 18mo,-0.177,0.004,0,52124,FS,42.14
AsqLangu 5yr,AsqLangu 18mo,0.295,0.005,0,36308,FS,61.46
AsqMotor 5yr,AsqLangu 18mo,-0.239,0.005,0,36313,FS,48.78
CastFull 5yr,AsqLangu 18mo,-0.117,0.009,0,13100,FS,13.6
CbclExter 5yr,AsqLangu 18mo,0.106,0.005,0,36233,FS,20.38
CbclInter 5yr,AsqLangu 18mo,0.033,0.005,0,36155,FS,6.23
CccCoher 5yr,AsqLangu 18mo,-0.254,0.005,0,36333,FS,51.84
CprsrsFull 5yr,AsqLangu 18mo,0.157,0.005,0,36301,FS,30.78
EasActiv 5yr,AsqLangu 18mo,0.012,0.005,0,36300,FS,2.31
EasEmoti 5yr,AsqLangu 18mo,-0.048,0.005,0,36304,FS,9.23
EasShyne 5yr,AsqLangu 18mo,0.048,0.005,0,36289,FS,9.23
EasSocia 5yr,AsqLangu 18mo,0.071,0.005,0,36295,FS,13.65
SlasFull 5yr,AsqLangu 18mo,-0.285,0.01,0,9401,FS,30
SprakExpre 5yr,AsqLangu 18mo,0.173,0.006,0,30671,FS,31.45
SprakRecep 5yr,AsqLangu 18mo,0.164,0.006,0,30673,FS,29.29
SprakSeman 5yr,AsqLangu 18mo,0.225,0.005,0,30687,FS,41.67
CccCoher 8yr,AsqLangu 18mo,0.248,0.006,0,26868,FS,43.51
CebqFull 8yr,AsqLangu 18mo,0.012,0.005,0,38190,FS,2.35
NhpicBenev 8yr,AsqLangu 18mo,0.038,0.005,0,38276,FS,7.45
NhpicConsc 8yr,AsqLangu 18mo,-0.135,0.005,0,38278,FS,27
RsdbdAdhd 8yr,AsqLangu 18mo,0.158,0.005,0,38310,FS,31.6
RsdbdCondu 8yr,AsqLangu 18mo,0.084,0.005,0,38366,FS,16.47
RsdbdHyper 8yr,AsqLangu 18mo,0.094,0.005,0,38302,FS,18.43
RsdbdInatt 8yr,AsqLangu 18mo,0.174,0.005,0,38308,FS,34.8
RsdbdOdd 8yr,AsqLangu 18mo,0.057,0.005,0,38296,FS,11.18
ScaredFull 8yr,AsqLangu 18mo,0.014,0.005,0,38322,FS,2.75
ScqRestr 8yr,AsqLangu 18mo,-0.132,0.005,0,33596,FS,24.44
ScqSocia 8yr,AsqLangu 18mo,0.061,0.005,0,33621,FS,11.3
SmfqFull 8yr,AsqLangu 18mo,0.066,0.005,0,38265,FS,12.94
SpinFull 8yr,AsqLangu 18mo,0.065,0.005,0,37418,FS,12.75
SprakSeman 8yr,AsqLangu 18mo,0.177,0.007,0,22283,FS,27.23
CapeFullC 14yr,AsqLangu 18mo,-0.051,0.007,0,18733,FS,6.99
PeqParenC 14yr,AsqLangu 18mo,0.003,0.007,0,18787,FS,0.41
SbSchooC 14yr,AsqLangu 18mo,-0.014,0.008,0,17154,FS,1.84
SclAnxieC 14yr,AsqLangu 18mo,-0.051,0.008,0,17166,FS,6.71
SclDepreC 14yr,AsqLangu 18mo,-0.051,0.008,0,17160,FS,6.71
SdqProsoC 14yr,AsqLangu 18mo,-0.095,0.008,0,14864,FS,11.73
SdqProsoM 14yr,AsqLangu 18mo,-0.1,0.009,0,12196,FS,11.11
SmfqFullC 14yr,AsqLangu 18mo,-0.059,0.008,0,14869,FS,7.2
SmfqFullM 14yr,AsqLangu 18mo,0.021,0.009,0,12710,FS,2.36
SpinFullC 14yr,AsqLangu 18mo,-0.021,0.008,0,14495,FS,2.53
SppaSociaC 14yr,AsqLangu 18mo,-0.05,0.007,0,18804,FS,6.85
SwlsFullC 14yr,AsqLangu 18mo,0.004,0.007,0,18786,FS,0.55
YptiFullC 14yr,AsqLangu 18mo,0.015,0.007,0,18668,FS,2.05
CbclExter 18mo,AsqMotor 18mo,0.017,0.004,0,72409,FS,4.59
CbclInter 18mo,AsqMotor 18mo,0.099,0.004,0,72234,FS,26.76
EasActiv 18mo,AsqMotor 18mo,0.184,0.004,0,72400,FS,51.11
EasEmoti 18mo,AsqMotor 18mo,-0.029,0.004,0,72407,FS,7.84
EasShyne 18mo,AsqMotor 18mo,0.084,0.004,0,72388,FS,22.7
EasSocia 18mo,AsqMotor 18mo,0.072,0.004,0,72390,FS,19.46
AsqLangu 3yr,AsqMotor 18mo,0.218,0.004,0,52129,FS,51.9
AsqMotor 3yr,AsqMotor 18mo,0.217,0.004,0,52073,FS,51.67
CbclExter 3yr,AsqMotor 18mo,0.061,0.004,0,51957,FS,13.86
CbclInter 3yr,AsqMotor 18mo,0.092,0.004,0,51831,FS,20.91
CfqPress 3yr,AsqMotor 18mo,0.04,0.004,0,51274,FS,9.09
CfqRestr 3yr,AsqMotor 18mo,0.005,0.004,0,51259,FS,1.14
EasActiv 3yr,AsqMotor 18mo,0.102,0.004,0,52048,FS,23.72
EasEmoti 3yr,AsqMotor 18mo,-0.039,0.004,0,52055,FS,8.86
EasShyne 3yr,AsqMotor 18mo,0.077,0.004,0,52038,FS,17.5
EasSocia 3yr,AsqMotor 18mo,0.062,0.004,0,52041,FS,14.09
ItseaCompe 3yr,AsqMotor 18mo,-0.071,0.004,0,52233,FS,16.14
ItseaDysre 3yr,AsqMotor 18mo,0.02,0.004,0,51931,FS,4.55
ItseaExter 3yr,AsqMotor 18mo,0.033,0.004,0,51950,FS,7.5
ItseaInter 3yr,AsqMotor 18mo,0.053,0.004,0,51934,FS,12.05
ScqRestr 3yr,AsqMotor 18mo,-0.014,0.004,0,52097,FS,3.18
ScqSocia 3yr,AsqMotor 18mo,0.18,0.004,0,52134,FS,42.86
SdqProso 3yr,AsqMotor 18mo,-0.118,0.004,0,52132,FS,27.44
AsqLangu 5yr,AsqMotor 18mo,0.19,0.005,0,36319,FS,37.25
AsqMotor 5yr,AsqMotor 18mo,-0.247,0.005,0,36322,FS,50.41
CastFull 5yr,AsqMotor 18mo,-0.084,0.009,0,13105,FS,9.66
CbclExter 5yr,AsqMotor 18mo,0.068,0.005,0,36243,FS,13.08
CbclInter 5yr,AsqMotor 18mo,0.093,0.005,0,36165,FS,17.88
CccCoher 5yr,AsqMotor 18mo,-0.118,0.005,0,36343,FS,22.69
CprsrsFull 5yr,AsqMotor 18mo,0.102,0.005,0,36310,FS,19.62
EasActiv 5yr,AsqMotor 18mo,-0.092,0.005,0,36307,FS,17.69
EasEmoti 5yr,AsqMotor 18mo,-0.058,0.005,0,36313,FS,11.15
EasShyne 5yr,AsqMotor 18mo,0.064,0.005,0,36298,FS,12.31
EasSocia 5yr,AsqMotor 18mo,0.072,0.005,0,36304,FS,13.85
SlasFull 5yr,AsqMotor 18mo,-0.237,0.01,0,9403,FS,24.43
SprakExpre 5yr,AsqMotor 18mo,0.083,0.006,0,30678,FS,14.56
SprakRecep 5yr,AsqMotor 18mo,0.084,0.006,0,30680,FS,14.74
SprakSeman 5yr,AsqMotor 18mo,0.096,0.006,0,30694,FS,16.84
CccCoher 8yr,AsqMotor 18mo,0.129,0.006,0,26877,FS,21.5
CebqFull 8yr,AsqMotor 18mo,0.022,0.005,0,38200,FS,4.31
NhpicBenev 8yr,AsqMotor 18mo,0.023,0.005,0,38286,FS,4.51
NhpicConsc 8yr,AsqMotor 18mo,-0.081,0.005,0,38288,FS,15.88
RsdbdAdhd 8yr,AsqMotor 18mo,0.08,0.005,0,38320,FS,15.69
RsdbdCondu 8yr,AsqMotor 18mo,0.016,0.005,0,38376,FS,3.14
RsdbdHyper 8yr,AsqMotor 18mo,0.029,0.005,0,38312,FS,5.69
RsdbdInatt 8yr,AsqMotor 18mo,0.104,0.005,0,38318,FS,20.39
RsdbdOdd 8yr,AsqMotor 18mo,0.034,0.005,0,38306,FS,6.67
ScaredFull 8yr,AsqMotor 18mo,0.056,0.005,0,38331,FS,10.98
ScqRestr 8yr,AsqMotor 18mo,-0.111,0.005,0,33602,FS,20.56
ScqSocia 8yr,AsqMotor 18mo,0.038,0.005,0,33627,FS,7.04
