"Var1","Var2","r","se","p","n"
"EasSocia_18mo","AsqMotor_18mo","0.072","0.0037","0.00e+00","72390"
"AsqLangu_3yr","AsqMotor_18mo","0.218","0.0042","0.00e+00","52129"
"AsqMotor_3yr","AsqMotor_18mo","0.217","0.0042","0.00e+00","52073"
"CbclExter_3yr","AsqMotor_18mo","0.061","0.0044","0.00e+00","51957"
"CbclInter_3yr","AsqMotor_18mo","0.092","0.0044","0.00e+00","51831"
"CfqPress_3yr","AsqMotor_18mo","0.04","0.0044","0.00e+00","51274"
"CfqRestr_3yr","AsqMotor_18mo","0.005","0.0044","0.00e+00","51259"
"EasActiv_3yr","AsqMotor_18mo","0.102","0.0043","0.00e+00","52048"
"EasEmoti_3yr","AsqMotor_18mo","-0.039","0.0044","0.00e+00","52055"
"EasShyne_3yr","AsqMotor_18mo","0.077","0.0044","0.00e+00","52038"
"EasSocia_3yr","AsqMotor_18mo","0.062","0.0044","0.00e+00","52041"
"ItseaCompe_3yr","AsqMotor_18mo","-0.071","0.0044","0.00e+00","52233"
"ItseaDysre_3yr","AsqMotor_18mo","0.02","0.0044","0.00e+00","51931"
"ItseaExter_3yr","AsqMotor_18mo","0.033","0.0044","0.00e+00","51950"
"ItseaInter_3yr","AsqMotor_18mo","0.053","0.0044","0.00e+00","51934"
"ScqRestr_3yr","AsqMotor_18mo","-0.014","0.0044","0.00e+00","52097"
"ScqSocia_3yr","AsqMotor_18mo","0.18","0.0042","0.00e+00","52134"
"SdqProso_3yr","AsqMotor_18mo","-0.118","0.0043","0.00e+00","52132"
"AsqLangu_5yr","AsqMotor_18mo","0.19","0.0051","0.00e+00","36319"
"AsqMotor_5yr","AsqMotor_18mo","-0.247","0.0049","0.00e+00","36322"
"CastFull_5yr","AsqMotor_18mo","-0.084","0.0087","0.00e+00","13105"
"CbclExter_5yr","AsqMotor_18mo","0.068","0.0052","0.00e+00","36243"
"CbclInter_5yr","AsqMotor_18mo","0.093","0.0052","0.00e+00","36165"
"CccCoher_5yr","AsqMotor_18mo","-0.118","0.0052","0.00e+00","36343"
"CprsrsFull_5yr","AsqMotor_18mo","0.102","0.0052","0.00e+00","36310"
"EasActiv_5yr","AsqMotor_18mo","-0.092","0.0052","0.00e+00","36307"
"EasEmoti_5yr","AsqMotor_18mo","-0.058","0.0052","0.00e+00","36313"
"EasShyne_5yr","AsqMotor_18mo","0.064","0.0052","0.00e+00","36298"
"EasSocia_5yr","AsqMotor_18mo","0.072","0.0052","0.00e+00","36304"
"SlasFull_5yr","AsqMotor_18mo","-0.237","0.0097","0.00e+00","9403"
"SprakExpre_5yr","AsqMotor_18mo","0.083","0.0057","0.00e+00","30678"
"SprakRecep_5yr","AsqMotor_18mo","0.084","0.0057","0.00e+00","30680"
"SprakSeman_5yr","AsqMotor_18mo","0.096","0.0057","0.00e+00","30694"
"CccCoher_8yr","AsqMotor_18mo","0.129","0.006","0.00e+00","26877"
"CebqFull_8yr","AsqMotor_18mo","0.022","0.0051","0.00e+00","38200"
"NhpicBenev_8yr","AsqMotor_18mo","0.023","0.0051","0.00e+00","38286"
"NhpicConsc_8yr","AsqMotor_18mo","-0.081","0.0051","0.00e+00","38288"
"RsdbdAdhd_8yr","AsqMotor_18mo","0.08","0.0051","0.00e+00","38320"
"RsdbdCondu_8yr","AsqMotor_18mo","0.016","0.0051","0.00e+00","38376"
"RsdbdHyper_8yr","AsqMotor_18mo","0.029","0.0051","0.00e+00","38312"
"RsdbdInatt_8yr","AsqMotor_18mo","0.104","0.0051","0.00e+00","38318"
"RsdbdOdd_8yr","AsqMotor_18mo","0.034","0.0051","0.00e+00","38306"
"ScaredFull_8yr","AsqMotor_18mo","0.056","0.0051","0.00e+00","38331"
