"Var1","Var2","r","se","p"
"PeqParenC_14yr","IcqFussi_6mo","0.003","0.0069","3.55e-209"
"SbSchooC_14yr","IcqFussi_6mo","-0.002","0.0073","2.31e-235"
"SclAnxieC_14yr","IcqFussi_6mo","-0.01","0.0073","0.00e+00"
"SclDepreC_14yr","IcqFussi_6mo","-0.002","0.0073","0.00e+00"
"SdqProsoC_14yr","IcqFussi_6mo","0.006","0.008","4.00e-301"
"SdqProsoM_14yr","IcqFussi_6mo","0.009","0.0089","0.00e+00"
"SmfqFullC_14yr","IcqFussi_6mo","-0.009","0.008","1.50e-179"
"SmfqFullM_14yr","IcqFussi_6mo","0.001","0.0086","0.00e+00"
"SpinFullC_14yr","IcqFussi_6mo","-0.001","0.0081","0.00e+00"
"SppaSociaC_14yr","IcqFussi_6mo","0.015","0.0069","6.94e-152"
"SwlsFullC_14yr","IcqFussi_6mo","-0.004","0.0069","0.00e+00"
"YptiFullC_14yr","IcqFussi_6mo","0.001","0.007","1.68e-268"
"AsqMotor_18mo","AsqLangu_18mo","0.243","0.0035","0.00e+00"
"CbclExter_18mo","AsqLangu_18mo","0.048","0.0037","0.00e+00"
"CbclInter_18mo","AsqLangu_18mo","0.022","0.0037","0.00e+00"
"EasActiv_18mo","AsqLangu_18mo","0.025","0.0037","0.00e+00"
"EasEmoti_18mo","AsqLangu_18mo","0.013","0.0037","0.00e+00"
"EasShyne_18mo","AsqLangu_18mo","0.027","0.0037","0.00e+00"
"EasSocia_18mo","AsqLangu_18mo","0.046","0.0037","0.00e+00"
"AsqLangu_3yr","AsqLangu_18mo","0.364","0.0038","0.00e+00"
"AsqMotor_3yr","AsqLangu_18mo","0.171","0.0043","0.00e+00"
"CbclExter_3yr","AsqLangu_18mo","0.032","0.0044","0.00e+00"
"CbclInter_3yr","AsqLangu_18mo","0.019","0.0044","0.00e+00"
"CfqPress_3yr","AsqLangu_18mo","0.016","0.0044","0.00e+00"
"CfqRestr_3yr","AsqLangu_18mo","0.007","0.0044","0.00e+00"
"EasActiv_3yr","AsqLangu_18mo","0.001","0.0044","0.00e+00"
"EasEmoti_3yr","AsqLangu_18mo","0.016","0.0044","0.00e+00"
"EasShyne_3yr","AsqLangu_18mo","0.019","0.0044","0.00e+00"
"EasSocia_3yr","AsqLangu_18mo","0.019","0.0044","0.00e+00"
"ItseaCompe_3yr","AsqLangu_18mo","0.097","0.0043","0.00e+00"
"ItseaDysre_3yr","AsqLangu_18mo","0.02","0.0044","0.00e+00"
"ItseaExter_3yr","AsqLangu_18mo","0.054","0.0044","0.00e+00"
"ItseaInter_3yr","AsqLangu_18mo","0.019","0.0044","0.00e+00"
"ScqRestr_3yr","AsqLangu_18mo","0.002","0.0044","0.00e+00"
"ScqSocia_3yr","AsqLangu_18mo","0.2","0.0042","0.00e+00"
"SdqProso_3yr","AsqLangu_18mo","0.123","0.0043","0.00e+00"
"AsqLangu_5yr","AsqLangu_18mo","0.273","0.0049","0.00e+00"
"AsqMotor_5yr","AsqLangu_18mo","0.221","0.005","0.00e+00"
"CastFull_5yr","AsqLangu_18mo","0.095","0.0087","0.00e+00"
"CbclExter_5yr","AsqLangu_18mo","0.034","0.0052","0.00e+00"
"CbclInter_5yr","AsqLangu_18mo","0.014","0.0053","0.00e+00"
"CccCoher_5yr","AsqLangu_18mo","0.122","0.0052","0.00e+00"
"CprsrsFull_5yr","AsqLangu_18mo","0.084","0.0052","0.00e+00"
"EasActiv_5yr","AsqLangu_18mo","0.011","0.0052","0.00e+00"
"EasEmoti_5yr","AsqLangu_18mo","0.01","0.0052","0.00e+00"
"EasShyne_5yr","AsqLangu_18mo","0.013","0.0052","0.00e+00"
"EasSocia_5yr","AsqLangu_18mo","0.025","0.0052","0.00e+00"
"SlasFull_5yr","AsqLangu_18mo","0.302","0.0094","0.00e+00"
"SprakExpre_5yr","AsqLangu_18mo","0.133","0.0056","0.00e+00"
"SprakRecep_5yr","AsqLangu_18mo","0.13","0.0056","0.00e+00"
"SprakSeman_5yr","AsqLangu_18mo","0.174","0.0055","0.00e+00"
"CccCoher_8yr","AsqLangu_18mo","0.197","0.0059","0.00e+00"
"CebqFull_8yr","AsqLangu_18mo","0.003","0.0051","0.00e+00"
"NhpicBenev_8yr","AsqLangu_18mo","0.008","0.0051","0.00e+00"
"NhpicConsc_8yr","AsqLangu_18mo","0.032","0.0051","0.00e+00"
"RsdbdAdhd_8yr","AsqLangu_18mo","0.041","0.0051","0.00e+00"
"RsdbdCondu_8yr","AsqLangu_18mo","0.068","0.0051","0.00e+00"
"RsdbdHyper_8yr","AsqLangu_18mo","0.054","0.0051","0.00e+00"
"RsdbdInatt_8yr","AsqLangu_18mo","0.087","0.0051","0.00e+00"
"RsdbdOdd_8yr","AsqLangu_18mo","0.026","0.0051","0.00e+00"
"ScaredFull_8yr","AsqLangu_18mo","0.018","0.0051","0.00e+00"
"ScqRestr_8yr","AsqLangu_18mo","0.122","0.0054","0.00e+00"
"ScqSocia_8yr","AsqLangu_18mo","0.004","0.0055","0.00e+00"
"SmfqFull_8yr","AsqLangu_18mo","0.037","0.0051","0.00e+00"
"SpinFull_8yr","AsqLangu_18mo","0.052","0.0052","0.00e+00"
"SprakSeman_8yr","AsqLangu_18mo","0.135","0.0066","0.00e+00"
"CapeFullC_14yr","AsqLangu_18mo","0.002","0.0073","0.00e+00"
"PeqParenC_14yr","AsqLangu_18mo","0.01","0.0073","0.00e+00"
"SbSchooC_14yr","AsqLangu_18mo","-0.001","0.0076","0.00e+00"
"SclAnxieC_14yr","AsqLangu_18mo","-0.027","0.0076","0.00e+00"
"SclDepreC_14yr","AsqLangu_18mo","-0.022","0.0076","0.00e+00"
"SdqProsoC_14yr","AsqLangu_18mo","0.064","0.0082","0.00e+00"
"SdqProsoM_14yr","AsqLangu_18mo","0.065","0.009","0.00e+00"
"SmfqFullC_14yr","AsqLangu_18mo","-0.004","0.0082","0.00e+00"
"SmfqFullM_14yr","AsqLangu_18mo","0.019","0.0089","0.00e+00"
"SpinFullC_14yr","AsqLangu_18mo","-0.022","0.0083","0.00e+00"
"SppaSociaC_14yr","AsqLangu_18mo","0.003","0.0073","0.00e+00"
"SwlsFullC_14yr","AsqLangu_18mo","-0.003","0.0073","0.00e+00"
"YptiFullC_14yr","AsqLangu_18mo","-0.012","0.0073","0.00e+00"
"CbclExter_18mo","AsqMotor_18mo","0.015","0.0037","0.00e+00"
"CbclInter_18mo","AsqMotor_18mo","0.067","0.0037","0.00e+00"
"EasActiv_18mo","AsqMotor_18mo","0.086","0.0037","0.00e+00"
"EasEmoti_18mo","AsqMotor_18mo","0.03","0.0037","0.00e+00"
"EasShyne_18mo","AsqMotor_18mo","0.031","0.0037","0.00e+00"
"EasSocia_18mo","AsqMotor_18mo","0.042","0.0037","0.00e+00"
"AsqLangu_3yr","AsqMotor_18mo","0.239","0.0041","0.00e+00"
